Id,ImageId
0,644
1,771
2,1774
3,41
4,744
5,520
6,1255
7,1092
8,1776
9,627
10,1227
11,119
12,234
13,82
14,224
15,1753
16,344
17,11
18,185
19,718
20,1355
21,690
22,1214
23,1697
24,181
25,1179
26,796
27,630
28,1033
29,258
30,1595
31,1148
32,549
33,342
34,906
35,1117
36,207
37,1020
38,1411
39,1391
40,504
41,1002
42,1517
43,1066
44,909
45,95
46,564
47,508
48,1226
49,1172
50,612
51,195
52,36
53,958
54,132
55,1273
56,112
57,1542
58,807
59,1290
60,328
61,1738
62,808
63,1501
64,1126
65,898
66,403
67,761
68,993
69,1336
70,121
71,628
72,1308
73,1180
74,1492
75,1758
76,488
77,1114
78,1113
79,1647
80,1742
81,882
82,491
83,420
84,10
85,1509
86,1048
87,585
88,563
89,789
90,1245
91,594
92,48
93,227
94,844
95,133
96,1548
97,1233
98,169
99,1084
100,1045
101,390
102,555
103,1440
104,1364
105,1737
106,1301
107,1193
108,1142
109,1141
110,1565
111,977
112,999
113,643
114,433
115,1132
116,93
117,794
118,385
119,71
120,1016
121,262
122,299
123,669
124,452
125,1433
126,965
127,126
128,1496
129,663
130,707
131,1222
132,1174
133,1029
134,1070
135,1471
136,26
137,1279
138,874
139,16
140,660
141,314
142,1155
143,1588
144,662
145,473
146,869
147,1323
148,1700
149,1791
150,933
151,157
152,253
153,1432
154,811
155,1304
156,151
157,410
158,1136
159,731
160,518
161,271
162,827
163,908
164,1451
165,1057
166,620
167,647
168,196
169,1544
170,873
171,523
172,531
173,336
174,412
175,15
176,1025
177,1693
178,701
179,248
180,454
181,702
182,427
183,339
184,956
185,666
186,936
187,9
188,1051
189,635
190,1176
191,364
192,62
193,1014
194,986
195,857
196,1399
197,1476
198,1425
199,1246
200,27
201,615
202,142
203,317
204,818
205,1606
206,244
207,1164
208,1369
209,150
210,1260
211,22
212,1256
213,1743
214,1469
215,428
216,809
217,323
218,162
219,631
220,393
221,774
222,922
223,241
224,605
225,1225
226,751
227,724
228,1035
229,450
230,1379
231,1598
232,779
233,232
234,1765
235,998
236,937
237,551
238,529
239,1405
240,146
241,1485
242,912
243,405
244,1043
245,1046
246,204
247,957
248,709
249,127
250,1257
251,123
252,1039
253,589
254,340
255,147
256,1601
257,1015
258,1302
259,392
260,498
261,905
262,102
263,645
264,1403
265,621
266,1056
267,1244
268,754
269,976
270,801
271,1005
272,1444
273,1643
274,1409
275,1671
276,991
277,1067
278,1294
279,849
280,218
281,1330
282,1356
283,1689
284,680
285,1228
286,493
287,293
288,1475
289,163
290,1656
291,1589
292,632
293,1264
294,1368
295,548
296,32
297,539
298,482
299,1271
300,161
301,741
302,866
303,1254
304,573
305,778
306,776
307,1592
308,661
309,223
310,1461
311,173
312,1207
313,1427
314,130
315,51
316,283
317,570
318,1315
319,637
320,144
321,1354
322,593
323,1396
324,230
325,1019
326,1261
327,1621
328,1431
329,1342
330,202
331,1424
332,1031
333,419
334,1017
335,1200
336,1741
337,1000
338,1385
339,1374
340,256
341,1055
342,1345
343,1010
344,955
345,853
346,1185
347,1486
348,723
349,346
350,100
351,247
352,684
353,1694
354,978
355,81
356,372
357,1418
358,1788
359,413
360,1609
361,19
362,822
363,1003
364,125
365,1341
366,622
367,865
368,951
369,1112
370,1578
371,903
372,862
373,421
374,325
375,286
376,863
377,359
378,626
379,700
380,1731
381,1275
382,1616
383,1463
384,851
385,1182
386,1691
387,415
388,1626
389,180
390,280
391,315
392,871
393,842
394,124
395,1749
396,208
397,1720
398,1563
399,1293
400,92
401,769
402,1715
403,1789
404,962
405,1594
406,1133
407,1660
408,1190
409,1421
410,885
411,728
412,1624
413,973
414,619
415,1243
416,1722
417,307
418,1184
419,330
420,158
421,814
422,1202
423,1699
424,1674
425,895
426,50
427,1767
428,1268
429,750
430,57
431,655
432,1491
433,1401
434,945
435,120
436,1527
437,143
438,171
439,1620
440,1125
441,530
442,688
443,356
444,1230
445,773
446,935
447,816
448,583
449,758
450,447
451,747
452,1327
453,1642
454,1553
455,552
456,1714
457,487
458,1058
459,797
460,880
461,917
462,1632
463,128
464,1159
465,683
466,1307
467,1603
468,166
469,1584
470,463
471,1392
472,406
473,757
474,1332
475,705
476,72
477,345
478,172
479,831
480,1170
481,1528
482,1309
483,25
484,1382
485,1240
486,854
487,948
488,370
489,1278
490,994
491,623
492,1360
493,658
494,138
495,1054
496,798
497,264
498,301
499,1458
500,1591
501,432
502,91
503,588
504,567
505,834
506,174
507,616
508,320
509,1171
510,547
511,1041
512,167
513,1069
514,252
515,1497
516,1423
517,269
518,1194
519,1286
520,249
521,1395
522,1062
523,1107
524,841
525,675
526,1662
527,1009
528,1353
529,436
530,66
531,1750
532,357
533,300
534,506
535,676
536,1483
537,1422
538,265
539,860
540,1173
541,572
542,1669
543,1459
544,1622
545,1617
546,1380
547,1331
548,1080
549,960
550,1201
551,850
552,1026
553,697
554,1771
555,601
556,1494
557,1082
558,847
559,1299
560,886
561,1567
562,696
563,591
564,1220
565,186
566,438
567,391
568,946
569,486
570,459
571,1531
572,1366
573,1755
574,1277
575,877
576,334
577,1346
578,1001
579,1702
580,835
581,1686
582,233
583,1402
584,187
585,21
586,358
587,783
588,650
589,840
590,197
591,257
592,974
593,791
594,1712
595,302
596,1259
597,189
598,1375
599,461
600,1093
601,1305
602,1238
603,341
604,1419
605,710
606,1519
607,1178
608,59
609,295
610,1560
611,800
612,273
613,990
614,938
615,1629
616,1572
617,742
618,1487
619,972
620,1109
621,1534
622,1746
623,477
624,220
625,565
626,963
627,821
628,1556
629,1303
630,483
631,624
632,1645
633,206
634,743
635,1387
636,896
637,205
638,836
639,1285
640,1707
641,1050
642,636
643,1775
644,1339
645,1083
646,7
647,289
648,467
649,817
650,1636
651,1596
652,1600
653,1679
654,759
655,1558
656,139
657,1378
658,1462
659,190
660,64
661,237
662,96
663,787
664,1072
665,839
666,1274
667,899
668,561
669,1443
670,859
671,1151
672,1520
673,982
674,3
675,1175
676,1602
677,383
678,928
679,964
680,532
681,846
682,1280
683,1090
684,1540
685,378
686,1013
687,685
688,719
689,1795
690,1676
691,557
692,1343
693,1192
694,1633
695,944
696,291
697,980
698,967
699,1569
700,590
701,1367
702,711
703,916
704,1361
705,1721
706,1322
707,480
708,106
709,1249
710,1504
711,1140
712,165
713,1121
714,1730
715,1251
716,67
717,995
718,609
719,1414
720,313
721,1363
722,297
723,1732
724,1177
725,458
726,1652
727,1796
728,254
729,1394
730,580
731,294
732,1710
733,1728
734,629
735,1739
736,1318
737,1321
738,511
739,1745
740,375
741,966
742,576
743,1144
744,1027
745,154
746,651
747,1281
748,1456
749,351
750,1654
751,399
752,554
753,918
754,1615
755,1685
756,47
757,1638
758,451
759,1688
760,354
761,1667
762,1135
763,766
764,1631
765,1650
766,471
767,1523
768,950
769,1218
770,495
771,178
772,820
773,1333
774,543
775,1154
776,734
777,485
778,513
779,864
780,929
781,216
782,107
783,1646
784,745
785,695
786,708
787,1770
788,756
789,1502
790,760
791,830
792,1388
793,109
794,1416
795,250
796,103
797,395
798,1630
799,1570
800,654
801,872
802,360
803,1004
804,1644
805,521
806,17
807,168
808,1430
809,780
810,30
811,679
812,1300
813,500
814,786
815,924
816,1079
817,806
818,1701
819,1658
820,949
821,777
822,404
823,69
824,858
825,1381
826,1532
827,1559
828,1127
829,78
830,1209
831,1466
832,1223
833,321
834,845
835,856
836,1503
837,222
838,159
839,686
840,517
841,170
842,823
843,795
844,970
845,1752
846,1068
847,311
848,1437
849,1282
850,1777
851,1095
852,423
853,1524
854,729
855,969
856,435
857,42
858,1075
859,456
860,1206
861,1608
862,782
863,380
864,1613
865,1516
866,725
867,469
868,1782
869,1695
870,1152
871,1326
872,716
873,462
874,1334
875,1158
876,153
877,1328
878,1052
879,848
880,535
881,104
882,1434
883,1102
884,911
885,45
886,1089
887,812
888,75
889,1474
890,904
891,408
892,1099
893,714
894,832
895,819
896,384
897,732
898,20
899,175
900,1477
901,810
902,876
903,1032
904,1359
905,1110
906,501
907,764
908,1372
909,1186
910,875
911,1344
912,1779
913,1295
914,84
915,1324
916,1169
917,1351
918,934
919,148
920,394
921,1400
922,1590
923,240
924,813
925,1007
926,322
927,425
928,1124
929,260
930,1604
931,1235
932,1076
933,1105
934,1398
935,1219
936,1319
937,1577
938,164
939,1793
940,1754
941,434
942,1713
943,1445
944,1649
945,1211
946,727
947,1457
948,53
949,1034
950,541
951,101
952,58
953,1605
954,1128
955,1008
956,770
957,1232
958,1441
959,1266
960,1664
961,641
962,553
963,1397
964,13
965,430
966,1183
967,1208
968,246
969,116
970,528
971,592
972,1406
973,1719
974,496
975,584
976,1139
977,1780
978,179
979,73
980,1587
981,474
982,1506
983,1130
984,355
985,1549
986,1348
987,837
988,762
989,579
990,1018
991,70
992,453
993,1579
994,1196
995,1682
996,1417
997,228
998,309
999,691
1000,225
1001,398
1002,1123
1003,1288
1004,239
1005,901
1006,1727
1007,755
1008,306
1009,672
1010,1580
1011,23
1012,1696
1013,1449
1014,1156
1015,1122
1016,1195
1017,396
1018,401
1019,1666
1020,1106
1021,312
1022,1167
1023,61
1024,833
1025,577
1026,12
1027,1168
1028,1684
1029,1376
1030,184
1031,507
1032,1163
1033,1074
1034,608
1035,1493
1036,1705
1037,368
1038,753
1039,416
1040,1781
1041,1077
1042,984
1043,1217
1044,1160
1045,140
1046,1187
1047,1698
1048,141
1049,1267
1050,894
1051,1709
1052,1550
1053,1599
1054,642
1055,152
1056,1479
1057,5
1058,914
1059,775
1060,1672
1061,1723
1062,329
1063,1545
1064,1792
1065,1511
1066,1212
1067,373
1068,44
1069,114
1070,1153
1071,1028
1072,272
1073,1760
1074,1435
1075,1063
1076,953
1077,1625
1078,1386
1079,1533
1080,678
1081,1162
1082,2
1083,55
1084,558
1085,1373
1086,1234
1087,983
1088,160
1089,996
1090,1415
1091,1146
1092,1446
1093,1708
1094,1320
1095,694
1096,209
1097,1087
1098,1764
1099,713
1100,31
1101,1547
1102,1555
1103,34
1104,883
1105,1539
1106,1265
1107,1478
1108,1203
1109,476
1110,1404
1111,374
1112,772
1113,1426
1114,1651
1115,1794
1116,749
1117,1500
1118,176
1119,417
1120,931
1121,277
1122,1371
1123,8
1124,843
1125,1049
1126,1618
1127,365
1128,377
1129,472
1130,613
1131,236
1132,736
1133,1370
1134,829
1135,947
1136,673
1137,733
1138,1383
1139,1389
1140,88
1141,200
1142,1508
1143,288
1144,682
1145,1557
1146,1568
1147,1161
1148,98
1149,192
1150,1733
1151,65
1152,1551
1153,703
1154,717
1155,1619
1156,1439
1157,343
1158,1561
1159,1668
1160,1786
1161,1023
1162,362
1163,737
1164,54
1165,1215
1166,739
1167,263
1168,35
1169,1188
1170,704
1171,221
1172,1574
1173,1129
1174,1059
1175,1053
1176,890
1177,1358
1178,1108
1179,815
1180,1296
1181,245
1182,941
1183,1677
1184,891
1185,1111
1186,765
1187,568
1188,212
1189,1269
1190,1036
1191,610
1192,1453
1193,726
1194,1442
1195,1526
1196,1772
1197,1757
1198,1325
1199,1653
1200,1253
1201,1455
1202,792
1203,261
1204,1785
1205,559
1206,943
1207,1134
1208,512
1209,194
1210,156
1211,1204
1212,332
1213,587
1214,1236
1215,145
1216,1338
1217,606
1218,653
1219,149
1220,424
1221,386
1222,1735
1223,1783
1224,648
1225,1529
1226,131
1227,1673
1228,1744
1229,926
1230,479
1231,242
1232,1298
1233,1665
1234,369
1235,49
1236,1231
1237,243
1238,1510
1239,788
1240,24
1241,1263
1242,118
1243,715
1244,1143
1245,1538
1246,870
1247,907
1248,376
1249,1289
1250,538
1251,1429
1252,429
1253,426
1254,921
1255,600
1256,470
1257,599
1258,878
1259,1678
1260,1306
1261,443
1262,893
1263,490
1264,338
1265,1064
1266,1535
1267,274
1268,656
1269,1137
1270,952
1271,900
1272,80
1273,1287
1274,113
1275,238
1276,981
1277,804
1278,215
1279,1086
1280,292
1281,1576
1282,720
1283,296
1284,333
1285,1078
1286,117
1287,802
1288,540
1289,29
1290,387
1291,793
1292,1663
1293,861
1294,1734
1295,251
1296,799
1297,1627
1298,1454
1299,481
1300,1680
1301,602
1302,781
1303,1703
1304,752
1305,598
1306,581
1307,942
1308,188
1309,1657
1310,997
1311,76
1312,828
1313,337
1314,1428
1315,382
1316,867
1317,1464
1318,1585
1319,1145
1320,693
1321,597
1322,1467
1323,582
1324,1716
1325,502
1326,1350
1327,400
1328,1061
1329,449
1330,556
1331,1115
1332,43
1333,1337
1334,668
1335,1628
1336,86
1337,571
1338,515
1339,217
1340,524
1341,129
1342,1149
1343,1313
1344,1412
1345,492
1346,566
1347,68
1348,1495
1349,414
1350,1229
1351,1165
1352,959
1353,1706
1354,1675
1355,287
1356,229
1357,1283
1358,1116
1359,468
1360,1729
1361,270
1362,1210
1363,1101
1364,79
1365,913
1366,1270
1367,1634
1368,90
1369,46
1370,657
1371,203
1372,989
1373,74
1374,884
1375,595
1376,1021
1377,604
1378,464
1379,1773
1380,1768
1381,285
1382,298
1383,327
1384,411
1385,1683
1386,38
1387,494
1388,155
1389,923
1390,418
1391,397
1392,201
1393,897
1394,1521
1395,1340
1396,1756
1397,1623
1398,363
1399,1384
1400,1747
1401,94
1402,1498
1403,56
1404,664
1405,89
1406,122
1407,108
1408,1138
1409,1690
1410,1586
1411,460
1412,1272
1413,712
1414,442
1415,213
1416,1659
1417,407
1418,1241
1419,1157
1420,640
1421,1490
1422,105
1423,198
1424,1040
1425,475
1426,805
1427,730
1428,1131
1429,1191
1430,586
1431,1291
1432,514
1433,1276
1434,560
1435,115
1436,625
